date,sector,n_total,n_valid_return20,n_positive_return20,top1_positive_return_concentration,top3_positive_return_concentration,top5_positive_return_concentration,rs_median,momentum_median,wls_median,leader_ticker,leader_return20,leader_vs_median_rs,leader_vs_median_mom,leader_vs_median_wls,flow_median,wyckoff_median,leader_vs_median_flow,leader_vs_median_wyckoff,n_valid_rs,n_valid_momentum,n_valid_flow,n_valid_wyckoff,n_valid_wls,coverage_rs,coverage_momentum,coverage_flow,coverage_wyckoff,coverage_wls,rs_p25,rs_p75,momentum_p25,momentum_p75,flow_p25,flow_p75,wls_p25,wls_p75
2026-09-11,XLK,75,20,8,0.6487520356798129,0.9561178624793055,0.9766833331363798,1.7618692232246138,0.007651854196142782,0.013496707797435087,CRM,0.26252480884908636,,,,-0.06939985267695631,-0.13028822989846478,,,15,15,15,15,15,20.0,20.0,20.0,20.0,20.0,0.9268130188929454,2.5366867490989815,-0.08080743616210861,0.015929137321179676,-0.13080132853775367,0.24487099299570853,-0.8861707311617317,0.8418971000183653
2026-09-11,XLF,78,20,5,0.3335488303446054,0.7116132236304655,1.0,4.736331856406933,0.00023609945241720443,-0.31380825147680247,PGR,0.03826330524871757,-0.9351092342726535,0.05308350723372868,0.6035437316577986,-0.07318667276789628,0.34186038123487195,-0.023729917219769928,-0.046931488613804806,14,14,14,14,14,17.94871794871795,17.94871794871795,17.94871794871795,17.94871794871795,17.94871794871795,2.728209716263817,6.9981658802282345,-0.01641816171178171,0.014721703062344521,-0.13041415322201225,-0.0027683524668294986,-0.5242160540395921,0.18915867614082338
2026-09-11,XLV,62,20,9,0.19175399884671668,0.47913471711052363,0.7087424862775301,1.5549104630390993,0.009100848211726409,0.04224768816930256,MRK,0.059555333892732376,-0.6845065434422871,0.060830457858663534,-0.02408774753354611,-0.44736815611871994,0.19471165052881081,-0.17243865901261113,-0.10974951543730355,15,15,15,15,15,24.193548387096776,24.193548387096776,24.193548387096776,24.193548387096776,24.193548387096776,0.7428338088478645,2.28725205505972,-0.045005367157167686,0.04426683539114379,-0.6149379726790576,-0.16109668073485917,-0.4711998398818171,0.29318545605520663
2026-09-11,XLE,23,20,16,0.14492102943610927,0.3822082512227462,0.5712573901969528,2.1085355755367456,0.00024580763901549396,0.31404647019058424,VLO,0.14268152920686727,3.8850170355456703,0.08227483582253337,1.2310261197496446,-0.045222794803595305,0.193716903636134,0.3660442119752315,0.6127750256483783,15,15,15,15,15,65.21739130434783,65.21739130434783,65.21739130434783,65.21739130434783,65.21739130434783,0.9250844457093732,3.6347098803822426,-0.02596751153168758,0.03812501375743557,-0.2003472515791892,0.18331035662159118,-0.9499384759746728,0.5297131101506944
2026-09-11,XLY,49,20,2,0.5435016274439485,,,1.7878009789750609,-0.024891698830005082,-0.10642626413860776,CMG,0.08059703769968518,,,,-0.18973419418306267,0.2229507623135496,,,15,15,15,15,15,30.612244897959183,30.612244897959183,30.612244897959183,30.612244897959183,30.612244897959183,1.3111278394352843,2.4918998131352157,-0.04091165026114137,-0.013986123105053372,-0.4848573625050647,0.06424424809644282,-0.4488907820134407,0.25593177947067447
2026-09-11,XLP,36,20,9,0.41659682868951703,0.81794807674164,0.912709719954166,1.0410171013552012,0.03039314548174976,-0.29775668834219715,ADM,0.08477818503454504,-0.0009594846928517864,0.08296716147384607,0.7930664366476576,-0.023233743676013763,0.1487613877654782,0.36575358878813924,-0.4406509914158866,15,15,15,15,15,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667,0.7880787137964035,1.688594512307546,-0.027033175441756513,0.037764565358929775,-0.2629092911213154,0.28683264388789137,-0.7891756078349478,0.42892397371457425
2026-09-11,XLI,85,20,1,1.0,,,2.4677728558731777,-0.0005142258532843114,-0.1514525754356111,DE,0.10986288466886229,1.4525149516130744,0.1835922328802292,1.4033650013230252,-0.05013273175399661,0.21756753630934814,0.0,0.1384837454808022,15,15,15,15,15,17.647058823529413,17.647058823529413,17.647058823529413,17.647058823529413,17.647058823529413,1.5238151134339668,3.847305345754946,-0.033852345599558714,0.029806653227631763,-0.2701938489463845,0.11711070608103058,-0.37155877819651534,0.15240400013689082
2026-09-11,XLB,27,20,5,0.33783002238633475,0.8129286148944526,1.0,4.7063786004995265,-0.027714347117259175,-0.037303823766239516,CF,0.12485210390061341,,,,-0.1459748549134024,-0.06694874509647436,,,15,15,15,15,15,55.55555555555556,55.55555555555556,55.55555555555556,55.55555555555556,55.55555555555556,1.692345456283832,5.570264738488842,-0.05484034331859228,0.02745967056126497,-0.4480368685748011,0.00048182283553404193,-0.22244927859321423,0.274032504608852
2026-09-11,XLU,33,20,3,0.49408531245944515,1.0,,2.056381208399641,0.005728102465814677,0.04200985939187953,AWK,0.010939834996694486,,,,-0.24903143398163477,-0.06219417402956047,,,15,15,15,15,15,45.45454545454545,45.45454545454545,45.45454545454545,45.45454545454545,45.45454545454545,1.7443972814229731,2.6643076256870324,-0.005352411963601523,0.02340351802136814,-0.3585799099241229,-0.14002383458142106,-0.35556669305945615,0.14333267850943518
2026-09-11,XLRE,32,20,3,0.5952299989806735,1.0,,3.1699678764171573,-0.013700340090018859,0.03853127168989255,AMT,0.012928603763457946,0.9260711287322447,0.06827053215649093,0.6739491267538997,-0.1117320467778536,0.011135726876784824,0.3460713163852648,-0.12704064525369965,15,15,15,15,15,46.875,46.875,46.875,46.875,46.875,1.9070705618868327,4.530285815897185,-0.02412049486734008,0.03002524120863473,-0.1990524343181807,0.12999434898357237,-0.15755606633706526,0.47446269177780104
2026-09-11,XLC,26,20,8,0.3957985307694879,0.7607276473373686,0.9236975937647445,0.9462700221638657,-0.017879507964673413,-0.3339871017796463,META,0.09863534139022945,4.80888129292085,0.11505183259425888,2.432010666185887,0.12495644387725802,0.18728452382091507,0.5494298062995672,0.4136735337144837,15,15,15,15,15,57.692307692307686,57.692307692307686,57.692307692307686,57.692307692307686,57.692307692307686,0.517539985040695,1.766429877630879,-0.04599985765591963,0.006106111518463714,-0.04179159969499505,0.2116130851766625,-0.772021768542837,0.5855929526501933
