date,window,n_sectors,n_valid_pairs,corr_mean,corr_median,corr_p25,corr_p75,corr_min,corr_max,correlation_reading,effective_date,expected_date,coverage
2026-09-08,20,11,55,0.1436232723026819,0.149953667663925,-0.1462081253455366,0.4250925034037918,-0.5362410706187126,0.7461088572607116,Diferenciación elevada,,,
2026-09-08,60,11,55,0.1431005927544442,0.1972210607545623,-0.081581390698092,0.3749016024037572,-0.5796193758592028,0.7082611441087483,Diferenciación elevada,,,
2026-09-09,20,11,55,0.1436232723026825,0.1499536676639255,-0.1462081253455328,0.4250925034037939,-0.5362410706187152,0.7461088572607117,Diferenciación elevada,,,
2026-09-09,60,11,55,0.1431005927544444,0.1972210607545644,-0.0815813906980929,0.3749016024037573,-0.5796193758592029,0.7082611441087497,Diferenciación elevada,,,
2026-09-10,20,11,55,0.1769966997982055,0.2294615977645532,-0.1113672802384426,0.4720222528064194,-0.5221191467982614,0.7437693934672056,Diferenciación elevada,,,
2026-09-10,60,11,55,0.150818756666748,0.2171748343253317,-0.0816470146927412,0.3688858728150813,-0.5513934735704333,0.7099002898643115,Diferenciación elevada,,,
2026-09-11,20,11,55,0.1991823576557818,0.245501015033052,-0.0521450675727739,0.4682901239752887,-0.537082587669798,0.7442785164668744,Diferenciación elevada,,,
2026-09-11,60,11,55,0.1469490785777263,0.2143651581705984,-0.0897981252274054,0.3786203475914316,-0.5539230562531872,0.7126457581150833,Diferenciación elevada,,,
2026-09-14,20,11,55,0.1764388948289897,0.2089627342120306,-0.065857053330175,0.4402662989066901,-0.6569499576479508,0.6926659862317461,Diferenciación elevada,2026-09-14,2026-09-15,1.0
2026-09-14,60,11,55,0.1402816371961833,0.2127473914179469,-0.0924574707256419,0.3593819065824749,-0.5683531445833072,0.696393994159824,Diferenciación elevada,2026-09-14,2026-09-15,1.0
2026-09-15,20,11,55,0.1684774966214514,0.2105049944329888,-0.086798963503676,0.4303943561059249,-0.6432207917349306,0.709705685409161,Diferenciación elevada,2026-09-15,2026-09-16,1.0
2026-09-15,60,11,55,0.1412494683096053,0.2056233880652766,-0.0937759761571544,0.3654259962852026,-0.5701794108459474,0.7037869812995999,Diferenciación elevada,2026-09-15,2026-09-16,1.0
2026-09-16,20,11,55,0.18082919135396167,0.1851244511189055,-0.023232245685055157,0.4022705409179621,-0.6698048183532214,0.7006721547358907,Diferenciación elevada,2026-09-16,2026-09-16,1.0
2026-09-16,60,11,55,0.1475129007933089,0.20623210476524861,-0.07499663355966871,0.3686316355694924,-0.5774071472322607,0.7047522466958387,Diferenciación elevada,2026-09-16,2026-09-16,1.0
